Country Name,Country Code,Series Name,Series Code,1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,..,..,12694544693,14213045494,15431288006,16452201101,20079363626,25733043137,27821913815,27660149541,29828899206,30415095887,29114875622,30703017450,35083608131,46731767494,57240535138,62697540107,70596729394,86304245825,1.00325E+11,88945625174,89501012916,98181259740,93413992956,98478349315,1.00948E+11,87501423882,89768598023,95769031980
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,25337226971,30423573842,36152027893,45474442836,52156414979,60644572348,73777792327,87890009877,96403758865,1.00164E+11,85707636233,86283126844,95833932715,89286208629,91941192896,97001377569,1.14189E+11,1.27418E+11,1.47797E+11,1.79981E+11,1.92226E+11,1.92408E+11,2.36422E+11,2.75967E+11,2.90674E+11,3.04454E+11,3.11539E+11,3.04098E+11,3.09764E+11,3.23907E+11
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,3.75139E+11,4.13631E+11,5.35101E+11,5.75599E+11,6.29202E+11,5.23649E+11,5.29122E+11,6.1294E+11,6.40998E+11,5.88692E+11,6.17042E+11,6.33194E+11,5.95403E+11,6.25976E+11,7.05146E+11,9.06853E+11,1.06956E+12,1.15728E+12,1.26455E+12,1.47934E+12,1.63502E+12,1.4991E+12,1.43162E+12,1.48807E+12,1.33602E+12,1.36185E+12,1.37691E+12,1.19779E+12,1.23726E+12,1.31132E+12
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,165745740.7,185094777.8,208740444.4,209880963,229434518.5,249676000,277567259.3,299699666.7,318742963,357237682.1,364975456.9,389984428.9,420515107.7,461078078.1,483120194.3,465850739.6,502561629.6,543167666.7,636218037,674008481.5,738942555.6,723209111.1,705015370.4,753225963,734462666.7,788163888.9,847778185.2,878281518.5,909854629.6,945854481.5
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,692016714.3,696915430.7,1114703088,1156141998,1284766234,1357206996,1419293455,1698982438,1602760100,1716699913,1576904292,1547884442,1738100853,1542477309,1432228125,2197612701,2770082792,3178126492,3291353836,3469363996,3294093485,3580417067,4438778424,4820499924,4823831657,4560713074,4377293816,4020275298,3720649375,4408564260
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,2.04068E+11,2.14875E+11,2.58154E+11,2.70363E+11,2.80312E+11,2.09951E+11,2.2608E+11,2.64052E+11,2.88104E+11,2.64478E+11,2.668E+11,2.70848E+11,2.59802E+11,2.39917E+11,2.63926E+11,3.31109E+11,3.81705E+11,3.89042E+11,4.20032E+11,4.87816E+11,5.13966E+11,4.29657E+11,4.88378E+11,5.6311E+11,5.43881E+11,5.78742E+11,5.73818E+11,4.97918E+11,5.1446E+11,5.3804E+11
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2.09298E+11,2.02079E+11,2.58067E+11,2.61114E+11,2.71814E+11,2.64353E+11,2.92647E+11,3.42617E+11,3.30092E+11,2.86519E+11,2.95045E+11,2.89912E+11,2.72055E+11,2.78631E+11,3.01417E+11,3.52915E+11,3.94164E+11,4.08689E+11,4.30921E+11,4.79913E+11,5.54363E+11,5.41507E+11,5.83783E+11,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79289E+11,6.68745E+11,6.78887E+11
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,61667199835,72250877410,85343063966,98234695722,1.11453E+11,1.2889E+11,1.46683E+11,1.69279E+11,1.83035E+11,1.5018E+11,1.13676E+11,1.26669E+11,1.26392E+11,1.20297E+11,1.34301E+11,1.52281E+11,1.72895E+11,1.89318E+11,2.21758E+11,2.62943E+11,2.91383E+11,2.8171E+11,3.41105E+11,3.70819E+11,3.97558E+11,4.20333E+11,4.07339E+11,4.01399E+11,4.11755E+11,4.55221E+11
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,10096292842,10102075213,12290568182,13074782609,15497286296,14608946896,15632463424,18030876599,19587322786,20746360430,21803372267,22943685719,21473188882,22066101341,23142294436,27453084983,31183139301,32273007554,34378437265,38908069299,44856586316,43454935940,44050929160,45810626509,45044112939,46251061734,47587913059,43156708809,42062549395,40256675209
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,90852814005,1.07143E+11,1.50676E+11,1.50028E+11,1.58459E+11,1.8017E+11,1.3069E+11,1.69486E+11,1.81476E+11,1.89835E+11,2.75769E+11,2.55884E+11,2.72979E+11,2.00252E+11,2.38428E+11,3.11823E+11,4.04787E+11,5.01416E+11,5.52487E+11,6.7577E+11,7.64336E+11,6.4464E+11,7.71902E+11,8.32524E+11,8.73982E+11,9.50579E+11,9.34186E+11,8.59797E+11,8.63722E+11,8.51102E+11
